To the queue | Address: 25, X: 14177, Y: 24427, Ticks: 38, From IntComp: 0
To the queue | Address: 13, X: 179884, Y: 160, Ticks: 38, From IntComp: 6
To the queue | Address: 18, X: 96742, Y: 5903, Ticks: 38, From IntComp: 7
To the queue | Address: 40, X: 171861, Y: 125, Ticks: 38, From IntComp: 8
To the queue | Address: 49, X: 200877, Y: 341, Ticks: 38, From IntComp: 9
To the queue | Address: 31, X: 33213, Y: 7, Ticks: 38, From IntComp: 10
To the queue | Address: 31, X: 44284, Y: 49, Ticks: 38, From IntComp: 12
To the queue | Address: 18, X: 145113, Y: 18, Ticks: 38, From IntComp: 14
To the queue | Address: 49, X: 133918, Y: 31, Ticks: 38, From IntComp: 17
To the queue | Address: 49, X: 66959, Y: 12, Ticks: 38, From IntComp: 19
To the queue | Address: 31, X: 22142, Y: 37, Ticks: 38, From IntComp: 20
To the queue | Address: 4, X: 68506, Y: 54, Ticks: 38, From IntComp: 22
To the queue | Address: 36, X: 2122, Y: 71126137, Ticks: 38, From IntComp: 23
To the queue | Address: 15, X: 25106, Y: -186, Ticks: 38, From IntComp: 24
To the queue | Address: 40, X: 229148, Y: 10, Ticks: 38, From IntComp: 26
To the queue | Address: 31, X: 11071, Y: 5482, Ticks: 38, From IntComp: 29
To the queue | Address: 36, X: 3183, Y: 10634745, Ticks: 38, From IntComp: 30
To the queue | Address: 18, X: 48371, Y: 1, Ticks: 38, From IntComp: 34
To the queue | Address: 15, X: 12553, Y: 3, Ticks: 38, From IntComp: 37
To the queue | Address: 33, X: 26561, Y: -3143, Ticks: 38, From IntComp: 38
To the queue | Address: 1, X: 63746, Y: 25, Ticks: 38, From IntComp: 41
To the queue | Address: 36, X: 1061, Y: -17027471, Ticks: 38, From IntComp: 42
To the queue | Address: 35, X: 203782, Y: 2, Ticks: 38, From IntComp: 43
To the queue | Address: 4, X: 102759, Y: 263, Ticks: 38, From IntComp: 44
To the queue | Address: 1, X: 31873, Y: 769, Ticks: 38, From IntComp: 45
To the queue | Address: 40, X: 57287, Y: 5, Ticks: 38, From IntComp: 47
To the queue | Address: 11, X: 82279, Y: 23117, Ticks: 38, From IntComp: 48
To the queue | Address: 46, X: 70667, Y: 24427, Ticks: 45, From IntComp: 0
To the queue | Address: 15, X: 37659, Y: 31, Ticks: 45, From IntComp: 17
To the queue | Address: 13, X: 269826, Y: 10, Ticks: 45, From IntComp: 26
To the queue | Address: 49, X: 334795, Y: 1, Ticks: 45, From IntComp: 34
To the queue | Address: 15, X: 50212, Y: 3, Ticks: 45, From IntComp: 37
To the queue | Address: 5, X: 56597, Y: 2, Ticks: 45, From IntComp: 43
To the queue | Address: 40, X: 114574, Y: 5, Ticks: 45, From IntComp: 47
To the queue | Address: 46, X: 141334, Y: 24427, Ticks: 52, From IntComp: 0
To the queue | Address: 31, X: 55355, Y: 1, Ticks: 52, From IntComp: 34
To the queue | Address: 39, X: 28753, Y: 2, Ticks: 52, From IntComp: 43
To the queue | Address: 13, X: 134913, Y: 5, Ticks: 52, From IntComp: 47
To the queue | Address: 3, X: 37579, Y: 24427, Ticks: 59, From IntComp: 0
To the queue | Address: 11, X: 164558, Y: 1, Ticks: 59, From IntComp: 34
To the queue | Address: 13, X: 44971, Y: 2, Ticks: 59, From IntComp: 43
To the queue | Address: 3, X: 75158, Y: 24427, Ticks: 66, From IntComp: 0
To the queue | Address: 33, X: 79683, Y: 1, Ticks: 66, From IntComp: 34
To the queue | Address: 13, X: 89942, Y: 2, Ticks: 66, From IntComp: 43
To the queue | Address: 3, X: 112737, Y: 24427, Ticks: 73, From IntComp: 0
To the queue | Address: 4, X: 34253, Y: 1, Ticks: 73, From IntComp: 34
To the queue | Address: 1, X: 127492, Y: 1, Ticks: 80, From IntComp: 34
To the queue | Address: 33, X: 53122, Y: 23117, Ticks: 206, From IntComp: 11
To the queue | Address: 1, X: 95619, Y: 14202, Ticks: 271, From IntComp: 4
To the queue | Address: 49, X: 267836, Y: 106254, Ticks: 271, From IntComp: 18
To the queue | Address: 35, X: 101891, Y: 64733411, Ticks: 271, From IntComp: 36
To the queue | Address: 21, X: 44554, Y: 14575061542483, Ticks: 316, From IntComp: 3
To the queue | Address: 2, X: 139558, Y: -72656731, Ticks: 329, From IntComp: 33
To the queue | Address: 13, X: 224855, Y: 31250, Ticks: 359, From IntComp: 40
To the queue | Address: 46, X: 212001, Y: -51894, Ticks: 387, From IntComp: 15
To the queue | Address: 2, X: 69779, Y: 129466822, Ticks: 371, From IntComp: 35
To the queue | Address: 2, X: 279116, Y: 273033450, Ticks: 412, From IntComp: 1
To the queue | Address: 2, X: 209337, Y: 69572062, Ticks: 466, From IntComp: 31
To the queue | Address: 21, X: 89108, Y: 13478532408, Ticks: 484, From IntComp: 49
To the queue | Address: 21, X: 66831, Y: -30964025205126, Ticks: 512, From IntComp: 46
To the queue | Address: 32, X: 18314, Y: 1000000000, Ticks: 568, From IntComp: 13
To the queue | Address: 5, X: 113194, Y: 399415603, Ticks: 680, From IntComp: 2
To the queue | Address: 39, X: 57506, Y: 798831206, Ticks: 786, From IntComp: 5
To the queue | Address: 25, X: 28354, Y: 1597662412, Ticks: 894, From IntComp: 39
To the queue | Address: 21, X: 22277, Y: 39026099737924, Ticks: 1002, From IntComp: 25
To the queue | Address: 32, X: 9157, Y: 22650614607689, Ticks: 1132, From IntComp: 21
